id;rua;numero;bairro;cidade;estado;cep;complemento;referencia;endereco_completo;tipo_endereco;latitude;longitude;status;criado_em;atualizado_em
d5e1016f-f29e-4d78-b770-5dbe6908c15e;Madeira cenoura Avenida;96264;indexing;SQL harness synthesizing;calculate;next-generation;Response Frango;methodology Lev;Personal copying calculate;COMERCIAL;8380;81605;true;2022-10-13T17:31:05;2022-10-13T14:27:23
a13961c1-3cca-4f32-89a4-2309d4a6ad2c;product;37384;backing;Fresco;Rodovia;Salgadinhos;middleware synthesizing Principal;XML marrom;Gibraltar Mato Loan;COMERCIAL;3162;47254;false;2022-10-13T06:26:07;2022-10-13T14:22:56
53466177-9f50-42ee-9d8b-f74cb1209348;Savings açafrão;58173;Secured Avon cinza;de;monitoring;program;Configurable Fresco;Technician scale bypassing;Chapéu JSON;COMERCIAL;12302;83888;true;2022-10-13T05:17:54;2022-10-12T23:39:08
b1ede7fb-90a8-4d3f-ab6d-d36a1d23a30a;interface;26670;Marginal Usability;Sabonete;Peixe reboot;input Forward;verde;Pará transmit Rodovia;Fantástico Beleza;COMERCIAL;19013;56961;true;2022-10-13T07:17:15;2022-10-13T03:08:34
1bd14921-2113-41a8-9153-48d15d4b5e72;Savings;29940;Communications;navigate Zimbabwe;solid action-items CSS;rosa;Philippine system mão;Engineer Money Fantástico;Reduced;COMERCIAL;47290;41532;false;2022-10-12T19:52:23;2022-10-13T07:42:05
25284c4a-9f99-4bfb-9056-99682aad9dcc;Nepal Creative;9859;Buckinghamshire Saúde;pixel;communities compress;unleash;fúchsia Consultant Mesa;Incrível Licenciado;Stand-alone;COMERCIAL;11901;30177;false;2022-10-13T05:16:00;2022-10-13T12:51:58
71032b6f-9064-42d5-bb73-51ddd4572cdd;Card Livros Travessa;2888;harness Buckinghamshire Administrator;Alameda;HDD Optimization Administrator;Automated Manager array;hack;azul Salada;cultivate;RESIDENCIAL;72477;35347;false;2022-10-13T02:51:15;2022-10-13T05:45:44
d7b34c0f-86b7-4ba0-8d89-67b73cab8f08;innovative matrices SMS;34100;Colombian hacking Operations;Savings interface Iêmen;Rua Palau Investor;SAS withdrawal out-of-the-box;Bahia Aço;Calças;Response;COMERCIAL;47816;18192;false;2022-10-13T17:41:42;2022-10-13T11:19:01
b0d7a28c-4260-424f-b154-e61c7c71b3a3;feed SSL Investment;90466;invoice card Refinado;copying Franc ability;Pernambuco;Buckinghamshire explicit;primary;Teclado tangible;proactive Berkshire;COMERCIAL;91072;57439;true;2022-10-13T00:37:21;2022-10-13T07:23:35
1d704957-5809-4a25-bf5e-914697f34ef3;parsing Travessa Technician;17516;Tajiquistão;Agent Algerian;verde-azulado;Specialist Aço USB;heuristic Industrial;Developer Rústico efficient;vortals Central;COMERCIAL;36498;34764;true;2022-10-13T17:40:02;2022-10-13T07:44:39
